word,count
c l a s s e s,1
r a c e s,1
g e n d e r s,1
p o v e r t y,1
d i s e a s e,2
C l o s e l y,2
I n t e l l e c t u a l,1
p h i l o s o p h i e s,1
i d e o l o g i e s,1
b e l i e f s,1
o r d i n a r y,1
a d d i t i o n,1
i n v e s t i g a t e s,1
t h e o r i e s,1
s t y l e s,1
E n v i r o n m e n t a l,2
r e s t,2
a f f e c t e d,4
c o n s t i t u t i o n a l,3
u r b a n,2
d i g i t a l,2
C o m p a r a t i v e,1
c o m p a r e s,1
s i m i l a r i t i e s,1
d i f f e r e n c e s,2
U n l i k e,1
r e l i e s,1
r e p o r t s,2
r e f l e c t s,2
p e r s o n a l,1
h e a r s a y,1
c o m m u n a l,1
C o u n t e r f a c t u a l,1
c o u n t e r f a c t u a l,1
t h i n k i n g,1
a l t e r n a t i v e,2
c o u r s e s,3
e x p l o r i n g,1
c i r c u m s t a n c e s,1
d i s t i n g u i s h e d,1
o u t l o o k,1
M a r x i s t,2
f e m i n i s t,1
d i s t i n c t i o n s,1
b r o a d e s t,1
B a n g,1
m a c r o h i s t o r y,1
m e s o h i s t o r y,1
m i c r o h i s t o r y,2
s c a l e s,1
r a n g i n g,1
l a r g e - s c a l e,1
d e t a i l e d,1
c o m m u n i t i e s,2
g e n r e,1
b i o g r a p h y,1
r e c o u n t s,1
l e g a c y,1
l e f t,3
P u b l i c,1
p u b l i c,4
h a p p e n s,1
s e t t i n g s,1
m u s e u m s,1
J u d g e m e n t,1
A s h,1
h e a p,1
d i s a v o w e d,1
j u d g e m e n t,2
j u d g e m e n t s,2
n e e d,1
a f t e r,15
T e a c h i n g,1
S c h o l a r s h i p,1
v s,1
t e a c h i n g,9
t o o k,3
B r i t a i n,2
t w e n t i e t h,1
r e g a r d i n g,1
O x f o r d,3
C a m b r i d g e,1
s c h o l a r s h i p,2
d o w n p l a y e d,1
P r o f e s s o r,2
C h a r l e s,1
H a r d i n g,1
F i r t h,1
R e g i u s,1
1 9 0 4,2
r i d i c u l e d,1
s u i t e d,1
p r o d u c e,1
s u p e r f i c i a l,2
j o u r n a l i s t s,1
t u t o r s,2
v o t e s,1
p r o f e s s o r s,1
f o u g h t,2
b a c k,2
d e f e n c e,1
s a y i n g,1
o u t s t a n d i n g,1
s t a t e s m e n,1
a d m i n i s t r a t o r s,1
p r e l a t e s,1
d i p l o m a t s,1
m i s s i o n,3
v a l u a b l e,1
t r a i n i n g,2
s c h o l a r s,2
S e c o n d,3
f o r c e d,1
a s p i r i n g,1
y o u n g,2
t e a c h,2
o u t l y i n g,1
M a n c h e s t e r,1
U n i v e r s i t y,2
T h o m a s,1
T o u t,1
p r o f e s s i o n a l i z i n g,1
u n d e r g r a d u a t e,2
t h e s i s,1
c o n c e n t r a t e d,1
P h D - p r o d u c i n g,1
c o l l e g e s,1
t e n d e n c y,1
l a t t e r,2
p r o d u c t i v i t y,2
y o u n g e r,1
t e n u r e - t r a c k,1
f a c u l t y,1
F u r t h e r m o r e,1
r e l i e d,1
i n e x p e n s i v e,1
p a r t - t i m e,1
a d j u n c t s,1
d o,1
c l a s s r o o m,1
p r i o r i t y,1
s t r o n g,1
C i v i l i z a t i o n,1
s t u d e n t s,5
1 9 8 0,1
a t t e n t i o n,1
m o v e d,1
n o n - w e s t e r n,1
p r e p a r e,1
g l o b a l i z e d,1
N o u v e l l e,1
d i s s e m i n a t e d,1
C a h i e r s,1
p é d a g o g i q u e s,1
E n s e i g n e m e n t,1
j o u r n a l s,1
t e a c h e r s,3
I n s t i t u t,1
r e c h e r c h e,1
e t,1
p é d a g o g i q u e,1
I N R D P,1
J o s e p h,1
L e i f,1
I n s p e c t o r - g e n e r a l,1
t e a c h e r,1
p u p i l s,2
f a c t s,1
d a t e s,3
L o u i s,1
F r a n ç o i s,1
D e a n,1
H i s t o r y / G e o g r a p h y,1
I n s p e c t o r a t e,1
E d u c a t i o n,2
a d v i s e d,1
w o u l d,3
i m m e n s e,1
h a p p i n e s s,1
P r o p o n e n t s,1
r e a c t i o n,1
m e m o r i z a t i o n,1
n a m e s,1
b o r e d,1
T r a d i t i o n a l i s t s,1
p r o t e s t e d,1
l o u d l y,1
p o s t m o d e r n,1
i n n o v a t i o n,1
t h r e a t e n e d,3
i g n o r a n t,1
p a t r i o t i s m,2
B i a s,1
b o o k s t o r e,1
t e x t b o o k s,7
e n e m i e s,2
s p o n s o r e d,1
g o v e r n m e n t,15
p u t,3
f a v o r a b l e,1
l i g h t,1
J a p a n,2
m e n t i o n,2
N a n k i n g,1
M a s s a c r e,1
c u r s o r y,1
t r e a t m e n t,1
c o m p l a i n e d,1
T u r k e y,1
A r m e n i a n,1
G e n o c i d e,2
T u r k i s h,1
d e n i a l,1
g e n o c i d e,3
A c a d e m i c,1
p o l i t i c i z a t i o n,1
s u c c e s s,1
s t a n d a r d,1
c o m m u n i s t,2
r i g i d,1
c o m p a n y,2
d i f f e r,1
A n,2
r e p r e s e n t e d,2
c o u n t r y,21
S o u t h e r n,2
C i v i l,2
t r e a t e d,1
M c G r a w - H i l l,1
d e s c r i b i n g,1
p l a n t a t i o n s,1
w o r k e r s,1
i n s t e a d,1
t e x t b o o k,1
2 1 s t - c e n t u r y,1
c u r r i c u l u m,1
c o n t r o l l e d,2
1 6,1
s u p e r p a t r i o t i s m,1
p a c i f i s t i c,1
u n p a t r i o t i c,1
u n d e r t o n e,1
U N E S C O,2
t h u s,2
o r i e n t e d,1
t o w a r d s,1
d e m o c r a c y,6
p e a c e,4
d o w n p l a y,1
a m b i t i o n s,1
c i t i z e n s h i p,1
c e n t r e d,1
t o l e r a n c e,1
E u r o p e a n n e s s,1
C a m b o d i a,99
o f f i c i a l l y,1
K i n g d o m,8
S o u t h e a s t,11
I n d o c h i n e s e,1
P e n i n s u l a,1
b o r d e r e d,1
T h a i l a n d,13
n o r t h w e s t,2
L a o s,5
n o r t h,4
V i e t n a m,16
e a s t,3
c o a s t l i n e,3
G u l f,6
s o u t h w e s t,1
s p a n s,1
"1 8 1 , 0 3 5",2
s q u a r e,10
k i l o m e t r e s,7
"6 9 , 8 9 8",2
m i l e s,6
1 7,3
I t s,3
p o p u l o u s,1
c i t y,3
P h n o m,13
P e n h,7
S i e m,2
R e a p,2
B a t t a m b a n g,2
8 0 2,2
J a y a v a r m a n,3
d e c l a r e d,2
h i m s e l f,1
k i n g,8
u n i t i n g,1
w a r r i n g,1
K h m e r,37
p r i n c e s,1
C h e n l a,5
n a m e,5
K a m b u j a,1
I n d i a n i s e d,2
k i n g d o m,3
u n d e r t o o k,1
i n f r a s t r u c t u r a l,1
p r o j e c t s,2
t h r o u g h o u t,1
d e c l i n e,1
P o s t - A n g k o r,3
P e r i o d,2
1 8 6 3,2
P r o t e c t o r a t e,1
A f t e r,5
J a p a n e s e,3
o c c u p a t i o n,3
1 9 5 3,3
e x t e n d e d,1
1 9 6 5,1
H o,1
C h i,1
M i n h,1
S i h a n o u k,20
t r a i l s,1
1 9 7 0,6
c o u p,5
i n s t a l l e d,1
U S - a l i g n e d,1
R e p u b l i c,6
o v e r t h r o w n,1
R o u g e,21
r u l e d,1
C a m b o d i a n,26
1 9 7 9,1
o u s t e d,3
C a m b o d i a n – V i e t n a m e s e,2
V i e t n a m e s e - o c c u p i e d,1
P e o p l e,12
K a m p u c h e a,10
1 9 9 1,3
P e a c e,3
A c c o r d s,1
f o r m a l l y,1
e n d e d,3
N a t i o n s,7
1 9 9 2 – 9 3,1
U N,4
w i t h d r e w,1
1 9 9 3,3
9 0,2
r e g i s t e r e d,1
v o t e r s,1
1 9 9 7,3
d ' é t a t,2
c o n s o l i d a t e d,2
P r i m e,9
M i n i s t e r,9
H u n,20
S e n,18
P a r t y,12
C P P,8
c o n s t i t u t i o n a l l y,1
m u l t i - p a r t y,1
d o m i n a t e s,1
d i s s o l v e d,3
p a r t y,6
2 0 1 7,2
o n e - p a r t y,4
c u r r e n t l y,3
l e a s t,1
m e m b e r,6
A S E A N,6
R C E P,1
S u m m i t,3
W T O,2
N o n - A l i g n e d,1
M o v e m e n t,1
F r a n c o p h o n i e,1
d i a l o g u e,1
p a r t n e r,1
S h a n g h a i,1
C o o p e r a t i o n,1
O r g a n i s a t i o n,1
A g r i c u l t u r e,1
s e c t o r,1
t e x t i l e s,1
c o n s t r u c t i o n,2
g a r m e n t s,1
t o u r i s m,2
i n v e s t m e n t,3
v u l n e r a b l e,2
c l i m a t e,5
N a m e s,1
a n g l i c i s a t i o n,1
C a m b o d g e,1
t r a n s l i t e r a t i o n,1
ក ម ្ ព ុ ជ ា,2
K â m p ŭ c h é a,5
p r o n o u n c e d,4
k a m p u c i ə,3
s h o r t e n e d,1
ព ្ រ ះ រ ា ជ ា ណ ា ច ក ្ រ ក ម ្ ព ុ ជ ា,1
P r e ă h,1
R é a c h é a n a c h â k r,1
p r e a h,1
r i ə c i ə n a ː c a k,1
e n d o n y m,1
d e r i v e s,1
S a n s k r i t,1
क म ् ब ो ज द े श,1
K a m b o j a d e ś a,1
c o m p o s e d,1
द े श,1
D e ś a,1
क म ् ब ो ज,1
K a m b o j a,2
r e f e r r i n g,1
d e s c e n d a n t s,1
K a m b u,3
l e g e n d a r y,1
I n d i a n,3
s a g e,1
1 5 2 4,1
A n t o n i o,1
P i g a f e t t a,1
c i t e s,1
R e l a z i o n e,1
d e l,1
p r i m o,1
v i a g g i o,1
i n t o r n o,1
a l,1
m o n d o,1
1 5 2 4 – 1 5 2 5,1
C a m o g i a,1
S c h o l a r,1
G e o r g e,1
C o e d e s,2
1 0 t h - c e n t u r y,1
i n s c r i p t i o n,1
d y n a s t i c,1
l e g e n d,2
h e r m i t,1
S w a y a m b h u v a,2
c e l e s t i a l,1
n y m p h,1
M e r a,1
u n i t e,1
e s t a b l i s h,1
S o l a r,1
r o y a l,1
d y n a s t y,2
K a m b u - M e r a,1
r u l e r,2
S r u t a v a r m a n,1
s o n,6
S r e s h t h a v a r m a n,1
s o u t h e r n,3
v e r s i o n,1
K a n c h i,1
P a l l a v a,1
C o l l o q u i a l l y,1
C a m b o d i a n s,3
S r o k,1
ស ្ រ ុ ក ខ ្ ម ែ រ,1
S r ŏ k,1
K h m ê r,1
s r o k,1
k ʰ m a e,1
L a n d,1
K h m e r s,1
ប ្ រ ទ េ ស ក ម ្ ព ុ ជ ា,1
P r â t é s,1
p r ɑ t e h,1
C o u n t r y,1
E a r l y,1
G l a z e d,1
s t o n e w a r e,1
d a t i n g,1
e x i s t s,1
P l e i s t o c e n e,1
q u a r t z,1
q u a r t z i t e,1
p e b b l e,1
t e r r a c e s,1
M e k o n g,10
R i v e r,4
S t u n g,1
T r e n g,1
K r a t i é,1
p r o v i n c e s,5
K a m p o t,1
P r o v i n c e,2
a r c h a e o l o g i c a l,2
h u n t e r - g a t h e r e r s,1
i n h a b i t e d,1
H o l o c e n e,2
s i t e,6
c a v e,1
L a a n g,1
S p e a n,1
b e l o n g s,2
H o a b i n h i a n,1
E x c a v a t i o n s,1
l a y e r s,2
r a d i o c a r b o n,1
6 0 0 0,1
U p p e r,1
g a v e,2
t r a n s i t i o n,2
N e o l i t h i c,1
c o n t a i n i n g,2
d a t e d,1
e a r t h e n w a r e,1
c e r a m i c s,1
A r c h a e o l o g i c a l,1
r e c o r d s,1
r e m a i n,3
e q u a l l y,1
p e n e t r a t i o n,1
r i c e,4
f a r m e r s,1
P r e h i s t o r i c,1
c i r c u l a r,2
e a r t h w o r k s,2
d i s c o v e r e d,2
r e d,1
s o i l s,1
n e a r,1
M e m o t,1
a d j a c e n t,2
1 9 5 0 s,1
d e b a t e d,1
s e c o n d,2
p r e h i s t o r i c,1
s o m e w h a t,1
u n c e r t a i n,1
S a m r o n g,1
O u d o n g,1
i n v e s t i g a t i o n s,2
1 8 7 5,1
P h u m,2
S n a y,2
n o r t h e r n,1
p r o v i n c e,4
B a n t e a y,2
M e a n c h e y,3
w o r k e d,1
s u p p o r t i n g,2
c o m i n g,1
K h o r a t,1
P l a t e a u,1
s e t t l e m e n t s,1
b e n e a t h,1
B a k s e i,1
C h a m k r o n g,1
A n g k o r i a n,2
t e m p l e s,2
L o v e a,1
n o r t h - w e s t,1
A n g k o r,7
B u r i a l s,1
t e s t i f y,1
i m p r o v e m e n t,1
a v a i l a b i l i t y,1
s t r u c t u r e,1
K i n d s,1
g l a s s,1
b e a d s,1
r e c o v e r e d,1
P r o h e a r,1
s o u t h e a s t,3
t r a d i n g,1
2 n d – 4 t h,1
p r o b a b l y,1
s o c i o - p o l i t i c a l,1
P r e - A n g k o r i a n,1
a r t i c l e s,4
F u n a n,2
W a t,1
F a c e s,1
B o d h i s a t t v a,1
A v a l o k i t e s h v a r a,1
P r a s a t,1
B a y o n,1
s u c c e s s o r,1
c o a l e s c e d,1
s o u t h w e s t e r n,3
"2 , 0 0 0",1
a b s o r b e d,1
A s i a n,6
c i v i l i s a t i o n s,1
r e m n a n t s,1
f i r m l y,1
r e i g n e d,1
7 9 0,1
8 3 5,1
J a v a,1
p r o c l a i m e d,1
D e v a r a j a,1
f o l l o w e r s,2
i n s t i t u t e d,1
c u l t,1
G o d - k i n g,1
c o n q u e s t s,1
e m p i r e,6
9 t h,1
V I I I,1
a t t a c k e d,1
a r m y,4
K u b l a i,1
K h a n,1
b u y,1
A r o u n d,1
T h e r a v a d a,2
m i s s i o n a r i e s,2
S r i,1
L a n k a,1
r e i n t r o d u c e d,1
h a v i n g,1
s e n t,1
1 1 9 0 s,1
e v e n t u a l l y,2
d i s p l a c e d,1
M a h a y a n a,1
1 2 9 5,1
I n d r a v a r m a n,1
I I I,1
c e n t r e,1
c a p i t a l s,1
c o n s t r u c t e d,1
z e n i t h,1
2 0 0 7,3
s a t e l l i t e,1
c o n c l u d e d,1
p r e - i n d u s t r i a l,1
s p r a w l,1
"2 , 9 8 0",1
"1 , 1 5 1",1
n e i g h b o u r i n g,2
s a c k e d,1
A y u t t h a y a,1
a b a n d o n e d,1
1 4 3 2,1
f a i l u r e,1
i n f r a s t r u c t u r e,4
b r e a k d o w n,1
m a p,4
I n d o c h i n a,3
1 7 6 0,1
h i l l,1
t r i b e,1
h u n t e d,1
i n c e s s a n t l y,1
S i a m e s e,1
T h a i,2
A n n a m i t e s,1
V i e t n a m e s e,17
F o r m e r l y,1
D e l t a,1
1 6 9 8,1
C h e y,1
C h e t t h a,1
g r a n t i n g,1
p e r m i s s i o n,1
s e t t l e,1
c o l o n i s a t i o n,1
C o r o n a t i o n,1
N o r o d o m,14
1 9 4 1,3
s i g n e d,1
t r e a t y,1
p r o t e c t i o n,1
F r a n c e,5
p r o t e c t o r a t e,1
l a s t e d,1
b r i e f,1
i n t e r r u p t i o n,1
o c c u p i e d,1
1 9 4 5,2
s i m u l t a n e o u s l y,2
p u p p e t,1
B e t w e e n,1
1 8 7 4,1
1 9 6 2,2
"9 4 6 , 0 0 0",1
5 . 7,1
m a n i p u l a t e d,1
c h o i c e,1
S i s o w a t h,4
b r o t h e r,1
t h r o n e,3
v a c a n t,1
M o n i v o n g,3
M o n i r e t h,1
i n d e p e n d e n t l y,1
m i n d e d,1
m a t e r n a l,1
g r a n d s o n,1
e n t h r o n e d,2
e a s y,1
U n d e r,1
r e i g n,2
9,1
N o v e m b e r,5
1 9 5 3 – 1 9 7 0,2
M a o,1
Z e d o n g,1
1 9 5 6,1
1 9 5 5,1
a b d i c a t e d,1
f a v o u r,1
e l e c t e d,3
p r i m e,5
m i n i s t e r,7
U p o n,1
1 9 6 0,1
a g a i n,2
p r i n c e,1
p r o g r e s s e d,2
n e u t r a l i t y,1
c o m m u n i s t s,4
s a n c t u a r y,1
a r m s,2
a i d,2
f i g h t i n g,1
D e c e m b e r,3
1 9 6 7,1
P o s t,1
S t a n l e y,1
K a r n o w,1
t o l d,1
w a n t e d,1
b o m b,1
s a n c t u a r i e s,3
o b j e c t,1
u n l e s s,1
c o n v e y e d,1
P r e s i d e n t,2
J o h n s o n,1
e m i s s a r y,1
C h e s t e r,1
B o w l e s,1
J a n u a r y,2
r e f u t e d,1
a i r,1
s t r i k e s,1
2 6,1
M a r c h,2
c r i m i n a l,1
a t t a c k s,4
m u s t,1
i m m e d i a t e l y,2
d e f i n i t i v e l y,1
s t o p,1
2 8,1
p r e s s,2
c o n f e r e n c e,1
a p p e a l e d,1
p u b l i c i s e,1
a b r o a d,1
C a m b o d i a — t h a t,1
c a s e,1
b o m b i n g s,1
t e r r i t o r y,3
w h a t e v e r,1
p r e t e x t,1
N e v e r t h e l e s s,1
p l e a s,1
b o m b i n g,2
1 9 7 0 – 1 9 7 5,1
B e i j i n g,2
G e n e r a l,1
L o n,2
N o l,2
P r i n c e,2
S i r i k,1
M a t a k,1
c o m p l e t e d,1
r e g i m e,6
d e m a n d e d,1
V i e t,1
C o n g,1
d e s p e r a t e,1
l i n e s,2
l a u n c h e d,3
u r g e d,1
o v e r t h r o w i n g,1
h a s t e n i n g,1
o n s e t,1
c i v i l,2
T e n s,1
1 9 7 3,1
O p e r a t i o n,1
E a g l e,1
P u l l,1
r e b e l s,1
c o n f l i c t,2
l a r g e l y,4
i m p o s e d,1
D o c u m e n t s,1
u n c o v e r e d,1
S o v i e t,2
r e v e a l,1
o v e r r u n,1
e x p l i c i t,1
r e q u e s t,1
n e g o t i a t e d,1
P o l,3
P o t,3
c o m m a n d,1
N u o n,2
C h e a,2
N V A,2
u n i t s,2
o v e r r a n,2
p o s i t i o n s,1
C o m m u n i s t,2
C P K,2
e x p a n d e d,1
r e s p o n s e,2
i n v a s i o n,1
R i c h a r d,1
N i x o n,1
g r o u n d,1
c a m p a i g n,1
a i m e d,1
d e s t r o y i n g,1
I n c u r s i o n,1
Y e a r,1
D a y,1
t r o o p s,4
o f f e n s i v e,1
1 1 7,1
S i m u l t a n e o u s,1
p e r i m e t e r,1
p i n n e d,1
d o w n,2
R e p u b l i c a n,1
f i r e,1
b a s e s,1
v i t a l,1
r e s u p p l y,1
U S - f u n d e d,1
a i r l i f t,1
a m m u n i t i o n,1
C o n g r e s s,1
r e f u s e d,1
a d d i t i o n a l,1
s u r r e n d e r e d,1
5,1
e v a c u a t e d,1
1 9 7 5 – 1 9 7 8,1
D e m o c r a t i c,3
R o o m s,1
T u o l,2
S l e n g,2
M u s e u m,1
c o n t a i n,1
p h o t o s,1
v i c t i m s,3
C h o e u n g,1
E k,1
g r a v e,1
E s t i m a t e s,1
a p p r o x i m a t e l y,1
3,2
c i t e d,1
f i g u r e,1
2,2
q u a r t e r,1
K i l l i n g,1
F i e l d s,1
p r i s o n,3
k i l l i n g,1
H u n d r e d s,1
f l e d,2
b o r d e r,4
d i s p r o p o r t i o n a t e l y,1
t a r g e t e d,3
e t h n i c,3
m i n o r i t y,1
C h a m,2
M u s l i m s,1
u n d e r w e n t,1
p u r g e s,1
m u c h,3
h a l f,1
e x t e r m i n a t e d,1
k e e p,1
d i s e n f r a n c h i s e,1
p o t e n t i a l,1
t h r e a t s,1
F o r c e d,1
r e p a t r i a t i o n,1
d e a t h s,1
"2 5 0 , 0 0 0",1
"3 0 0 , 0 0 0",1
1 9 6 9,2
"5 6 , 0 0 0",1
1 9 8 4,1
m i n o r i t i e s,1
P r o f e s s i o n a l s,1
d o c t o r s,1
l a w y e r s,1
R o b e r t,1
D .,1
K a p l a n,1
e y e g l a s s e s,1
d e a d l y,1
y e l l o w,1
s t a r,1
s i g n,2
i n t e l l e c t u a l i s m,1
m a j o r i t y,2
a r c h i t e c t u r e,1
9 5,2
B u d d h i s t,1
d e s t r o y e d,1
1 9 7 8 – 1 9 9 2,1
1 9 7 8,1
i n v a d e d,1
r a i d s,1
c o n q u e r e d,1
P R K,1
p r o - S o v i e t,1
K a m p u c h e a n,1
R e v o l u t i o n a r y,1
1 9 5 1,1
p u r g e d,1
T a,1
M o k,1
f u l l y,2
b e h o l d e n,1
o c c u p y i n g,1
d i r e c t i o n,1
a m b a s s a d o r,1
g o v e r n m e n t - i n - e x i l e,1
C o a l i t i o n,1
G o v e r n m e n t,2
C G D K,1
1 9 8 1,1
c o n s i s t e d,1
r o y a l i s t,1
f a c t i o n,1
L i b e r a t i o n,2
F r o n t,1
c r e d e n t i a l s,1
T h i o u n n,1
P r a s i t h,1
r e t a i n e d,1
c o n s u l t a t i o n,1
r e p r e s e n t a t i v e s,1
n o n c o m m u n i s t,1
r e f u s a l,1
w i t h d r a w,1
s a n c t i o n s,1
e f f o r t s,2
1 9 8 9,1
S t a t e,1
O c t o b e r,7
C o m p r e h e n s i v e,1
S e t t l e m e n t,1
m a n d a t e,1
e n f o r c e,1
c e a s e f i r e,1
r e f u g e e s,1
d i s a r m a m e n t,1
T r a n s i t i o n a l,1
A u t h o r i t y,1
U N T A C,2
1 9 9 3 –,1
M o d e r n,1
m o n a r c h y,3
r e s t o r e d,1
r e i n s t a t e d,1
c o o r d i n a t e d,1
F U N C I N P E C,2
R a n a r i d d h,4
h u n g,1
p a r l i a m e n t,1
p o w e r - s h a r i n g,1
a g r e e d,1
c o - P r i m e,2
M i n i s t e r s,1
s e c e d e,1
t r a n s f e r r e d,1
s h a k e n,1
s t a b i l i z e,1
3 0,1
1 9 9 9,1
S i h a m o n i,5
c r o w n e d,1
2 0 0 4,4
a b d i c a t i o n,2
1 9 9 0 s,1
2 0 0 0 s,2
m u l t i p a r t y,2
m a r r e d,1
a b u s e s,1
c o r r u p t i o n,1
2 0 1 0 s,3
r e c e i v e d,1
c o n s i d e r a b l e,1
B e l t,1
I n i t i a t i v e,1
A n t i - g o v e r n m e n t,1
p r o t e s t s,3
C N R P,1
U N - b a c k e d,1
c r i m e s,5
t r i b u n a l,2
T r i b u n a l,1
c o m m i t t e d,1
p r o s e c u t e,1
o p p o s e d,1
t r i a l s,1
f o r m e r,3
J u l y,3
K a n g,1
K e k,1
I e w,1
g u i l t y,1
h u m a n i t y,1
c o m m a n d a n t,1
S 2 1,1
e x t e r m i n a t i o n,1
c a m p,1
s e n t e n c e d,2
A u g u s t,3
K h i e u,1
S a m p h a n,1
8 3 - y e a r - o l d,1
8 8 - y e a r - o l d,1
c h i e f,2
i d e o l o g u e,1
c h a r g e s,1
t e r r o r,1
1 9 7 0 s,2
u p d a t e,1
a l l e g a t i o n s,1
v o t e r,1
f r a u d,3
R e s c u e,2
a n t i - g o v e r n m e n t,1
c r a c k d o w n,1
a h e a d,1
2 0 1 8,1
r u l i n g,2
e n a c t e d,1
t i g h t e r,1
c u r b s,1
s e a t,1
A s s e m b l y,6
e f f e c t i v e l y,1
s o l i d i f y i n g,1
C O V I D - 1 9,1
p a n d e m i c,1
2 0 2 0,5
m i n i m i s i n g,1
h e a l t h,1
s t r a i n,1
o u t b r e a k,1
2 0 2 1,2
l o c k d o w n s,1
s e v e r e,2
t r a v e l,1
r e s t r i c t i o n s,1
a s s u m e d,1
o f f i c e,1
l o n g e s t - s e r v i n g,1
H e,2
a c c u s e d,2
c r a c k d o w n s,2
M a n e t,5
s u c c e e d,1
2 0 2 3,8
2 0 2 2,4
w a r n e d,1
n e w e s t,1
C a n d l e l i g h t,2
w a r n i n g,1
J u n e,2
l a w s u i t,1
f i l e d,1
E l e c t i o n,1
d e p u t y,1
S o n,1
C h h a y,1
a c c u s i n g,1
d e f a m a t i o n,1
s p e a k i n g,1
e l e c t o r a l,1
R i g h t s,2
W a t c h,2
r e p o r t,1
n u m e r o u s,2
t a m p e r i n g,1
c o m m u n e,2
l a n d s l i d e,1
f l a w e d,1
d i s q u a l i f i c a t i o n,1
2 2,2
s w o r n,1
G e o g r a p h i c,1
R e g i o n a l,1
t r o p i c s,1
l a t i t u d e s,1
1 0 °,1
1 5 ° N,1
l o n g i t u d e s,1
1 0 2 °,1
1 0 8 ° E,1
b o r d e r s,1
w e s t,2
n o r t h e a s t,2
4 4 3 - k i l o m e t r e,1
2 7 5 - m i l e,1
l a n d s c a p e,1
c h a r a c t e r i s e d,1
l o w - l y i n g,1
p l a i n,5
s u r r o u n d e d,1
u p l a n d s,1
l o w,1
m o u n t a i n s,2
T o n l e,10
S a p,10
G r e a t,1
L a k e,3
u p p e r,2
r e a c h e s,1
d e l t a,1
E x t e n d i n g,1
o u t w a r d,1
t r a n s i t i o n a l,2
p l a i n s,2
t h i n l y,1
f o r e s t e d,2
e l e v a t i o n s,1
6 5 0,1
f e e t,3
2 0 0,2
m e t r e s,3
a b o v e,2
s e a,2
f o r e s t,15
4 6,1
"8 , 0 6 8 , 3 7 0",1
h e c t a r e s,4
h a,4
"1 1 , 0 0 4 , 7 9 0",1
1 9 9 0,1
n a t u r a l l y,2
r e g e n e r a t i n g,2
c o v e r e d,2
"7 , 4 6 4 , 4 0 0",1
p l a n t e d,1
"6 0 3 , 9 7 0",1
O f,1
4,1
c o n s i s t i n g,1
t r e e,2
c l e a r l y,1
v i s i b l e,1
i n d i c a t i o n s,1
1 0 0,1
o w n e r s h i p,1
a b u t s,1
s a n d s t o n e,1
e s c a r p m e n t,1
s o u t h w a r d - f a c i n g,1
c l i f f,2
s t r e t c h i n g,1
3 2 0,1
a b r u p t l y,1
h e i g h t s,1
6 0 0,1
"1 , 8 0 0",1
1 8 0 – 5 5 0,1
m a r k s,1
D â n g r ê k,1
M o u n t a i n s,5
F l o w i n g,1
s o u t h,1
e a s t e r n,2
m e r g e,1
h i g h l a n d s,2
p l a t e a u s,1
e x t e n d,1
u p l a n d,1
b l o c k s,1
K r â v a n h,1
D â m r e i,1
h i g h l a n d,1
r e m o t e,1
u n i n h a b i t e d,1
A u r a l,2
h i g h e s t,2
p e a k,1
r i s e s,1
e l e v a t i o n,1
"5 , 9 4 9",1
"1 , 8 1 3",1
c o a s t a l,2
a d j o i n i n g,1
l o w l a n d,1
s t r i p,1
h e a v i l y,1
w o o d e d,1
s p a r s e l y,1
p o p u l a t e d,2
d i s t i n c t i v e,1
g e o g r a p h i c a l,1
f e a t u r e,1
i n u n d a t i o n s,1
m e a s u r i n g,1
"2 , 5 9 0",1
"1 , 0 0 0",1
d r y,8
e x p a n d i n g,1
"2 4 , 6 0 5",1
"9 , 5 0 0",1
r a i n y,2
d e n s e l y,1
d e v o t e d,1
w e t,2
c u l t i v a t i o n,1
h e a r t l a n d,1
M u c h,2
d e s i g n a t e d,1
b i o s p h e r e,2
r e s e r v e,2
C l i m a t e,3
K ö p p e n,1
M a i n l a n d,1
m o n s o o n s,3
t r o p i c a l,4
d i s t i n c t l y,1
s e a s o n a l,2
t e m p e r a t u r e,1
° C,3
7 0,2
° F,3
S o u t h w e s t,1
b l o w,1
i n l a n d,1
b r i n g i n g,1
m o i s t u r e - l a d e n,1
w i n d s,1
O c e a n,1
M a y,2
m o n s o o n,1
u s h e r s,1
l a s t s,2
h e a v i e s t,1
p r e c i p i t a t i o n,1
S e p t e m b e r,1
d r i e s t,1
o c c u r r i n g,1
F e b r u a r y,1
D e v e l o p m e n t,2
P h i l i p p i n e s,1
N e a r l y,1
R u r a l,1
S h o r t a g e s,1
c l e a n,1
w a t e r,3
f l o o d i n g,4
m u d s l i d e s,1
h i g h e r,1
d e s t r u c t i v e,2
s t o r m s,1
a c c o r d i n g,2
C h a n g e,1
A l l i a n c e,1
e c o l o g y,1
T o n l é,1
a f f e c t i n g,1
p r o p o r t i o n,1
s e a s o n s,1
r u n s,1
t e m p e r a t u r e s,2
d r o p,1
7 2,1
h u m i d i t y,1
4 0,1
1 0 4,1
D i s a s t r o u s,1
2 0 0 1,1
2 0 0 2,1
d e g r e e,1
S e v e r e,1
t y p h o o n,1
B i o d i v e r s i t y,1
c o n s e r v a t i o n,1
W i l d l i f e,6
L i s t,2
p r o t e c t e d,2
M a c a q u e s,1
P r o s,1
K a m p o n g,3
b i o d i v e r s i t y,2
f o u n d e d,1
f o r e s t s,3
1 8 0,1
r i p a r i a n,1
e c o s y s t e m s,1
