word,count
G r e e k s,2
c r e a t e d,5
t i m e s,3
h e l d,7
e v e r y,5
f o u r,3
v i l l a g e,2
P e l o p o n n e s u s,1
O l y m p i a,1
i n c r e a s i n g l y,4
O l y m p i c s,7
p r e s e n t,8
I n d u s t r i a l i s a t i o n,1
b r o u g h t,4
t r a n s p o r t a t i o n,1
i n c r e a s e d,7
l e t t i n g,1
p e o p l e,23
a t t e n d,1
f o l l o w,1
p a r t i c i p a t e,3
a t h l e t i c,6
T h e s e,6
t r e n d s,6
c o n t i n u e d,7
m a s s,5
m e d i a,8
c o m m u n i c a t i o n,2
P r o f e s s i o n a l i s m,1
p r e v a l e n t,1
a d d i n g,2
p o p u l a r i t y,3
f a n s,3
e x p l o i t s,1
a t h l e t e s,5
–,4
e n j o y i n g,1
a s s o c i a t e d,5
a m a t e u r,5
S i n c e,5
t u r n,3
2 1 s t,2
i n c r e a s i n g,3
d e b a t e,6
a b o u t,24
w h e t h e r,9
t r a n s g e n d e r,1
c o n f o r m,1
p o s t - t r a n s i t i o n,1
i d e n t i t y,3
F a i r,1
p l a y,6
S p o r t s m a n s h i p,4
G a m e s m a n s h i p,1
n ' t,1
e v e r y t h i n g,2
t h i n g,3
M o r a l,1
a t t i t u d e,1
s t r i v e s,1
c o u r t e s y,1
t o w a r d,5
t e a m m a t e s,1
o p p o n e n t s,2
e t h i c a l,1
b e h a v i o u r,4
i n t e g r i t y,1
g r a c e,1
d e f e a t,1
e x p r e s s e s,1
a s p i r a t i o n,2
e t h o s,2
w i l l,3
e n j o y e d,1
i t s,33
o w n,6
s a k e,2
w e l l - k n o w n,1
s e n t i m e n t,3
j o u r n a l i s t,2
G r a n t l a n d,1
R i c e,1
y o u,5
w o n,4
h o w,21
c r e e d,1
e x p r e s s e d,1
f o u n d e r,1
P i e r r e,1
C o u b e r t i n,1
i m p o r t a n t,8
. . .,2
w i n n i n g,2
t y p i c a l,1
e x p r e s s i o n s,2
C h e a t i n g,1
T h i s,15
s e c t i o n,2
d o e s,2
c i t e,1
P l e a s e,1
h e l p,3
c i t a t i o n s,1
r e l i a b l e,2
U n s o u r c e d,1
m a t e r i a l,3
c h a l l e n g e d,2
r e m o v e d,2
A p r i l,6
2 0 2 4,2
L e a r n,1
w h e n,16
r e m o v e,1
m e s s a g e,2
M a t c h,2
f i x i n g,2
c h e a t i n g,1
K e y,2
p r i n c i p l e s,2
p r e d e t e r m i n e d,1
s i d e s,1
e q u a l,1
o p p o r t u n i t y,2
w i n,5
R u l e s,1
b r e a k,1
g a i n,2
a d v a n t a g e,3
P a r t i c i p a n t s,1
c h e a t,1
u n f a i r l y,1
c h a n c e,1
a c h i e v e,1
a d v a n t a g e s,1
f i n a n c i a l,1
g a i n s,1
w i d e s p r e a d,5
e x i s t e n c e,2
c r e a t e s,1
m o t i v a t i o n,1
d e l i b e r a t e l y,2
w o r k,4
g i v e n,3
o u t c o m e,1
r a t h e r,6
t h a n,11
s i m p l y,1
p l a y i n g,4
D o p i n g,1
d r u g s,5
U s e,1
p e r f o r m a n c e - e n h a n c i n g,1
n a t u r e,8
e n c o u r a g e s,1
a t t e m p t,2
e n h a n c e,2
m e d i c i n e s,1
v o l u m e,1
b l o o d,1
a r t i f i c i a l,1
A l l,3
r e q u i r e d,1
i m p l e m e n t,1
t e s t i n g,1
p r o g r a m m e,2
l o o k i n g,2
l i s t,1
b a n n e d,5
s u s p e n s i o n s,1
b a n s,1
p l a c e d,2
t e s t,1
p o s i t i v e,3
s u b s t a n c e s,1
V i o l e n c e,2
i n v o l v e s,6
i n t e n t i o n a l,1
a g g r e s s i v e,2
v i o l e n c e,2
A t h l e t e s,1
c o a c h e s,1
p a r e n t s,1
s o m e t i m e s,8
u n l e a s h,1
v i o l e n t,5
p r o p e r t y,1
m i s g u i d e d,1
s h o w s,6
l o y a l t y,1
d o m i n a n c e,3
a n g e r,1
c e l e b r a t i o n,1
R i o t i n g,1
h o o l i g a n i s m,1
p a r t i c u l a r,12
p r o b l e m,1
n a t i o n a l,14
P a r t i c i p a t i o n,1
G e n d e r,1
W o m e n,4
l e v e l,4
f e m a l e,3
I S T A F,1
B e r l i n,2
2 0 0 6,2
F e m a l e,2
c o n t i n u e s,1
r i s e,3
a l o n g s i d e,2
i n v o l v e m e n t,3
v a l u e,3
c h i l d,1
D e s p i t e,2
i n c r e a s e s,1
d u r i n g,25
l a s t,1
t h r e e,4
d e c a d e s,2
g a p,2
p e r s i s t s,1
e n r o l l m e n t,1
f i g u r e s,1
m a l e,1
p l a y e r s,8
s p o r t s - r e l a t e d,1
a c c o u n t,5
3 9,2
%,9
t o t a l,4
U S,13
i n t e r s c h o l a s t i c,1
C e r t a i n,2
m i x e d - g e n d e r,2
a l l o w i n g,2
e v e n,1
m e n,4
w o m e n,2
s a m e,6
t e a m,5
O n e,3
B a s e b a l l 5,1
e v e n t,5
Y o u t h,3
C o l l e g e,1
p r e s e n t s,2
o p p o r t u n i t i e s,2
s o c i a l i s a t i o n,1
p e e r,1
s c h o l a r s h i p s,1
A c t i v i s t s,1
e d u c a t i o n,5
w a r,8
e n c o u r a g e,2
y o u t h,4
e d u c a t i o n a l,3
f i g h t,1
i l l e g a l,2
d r u g,1
t r a d e,8
C e n t e r,2
I n j u r y,1
R e s e a r c h,3
P o l i c y,1
N a t i o n w i d e,1
C h i l d r e n,1
H o s p i t a l,1
b i g g e s t,1
r i s k,2
d e a t h,4
s e r i o u s,1
i n j u r y,1
c o n c u s s i o n,1
r i s k s,1
c o m e,4
b a s k e t b a l l,1
v o l l e y b a l l,2
g r i d i r o n,1
i c e,1
h o c k e y,1
1 5,1
p r i v a t e,1
c o a c h i n g,1
D i s a b l e d,2
P a r a s p o r t s,1
r u n n e r,1
g i v e s,2
f r i e n d l y,1
t a p,1
s h o u l d e r,1
w h e e l c h a i r,1
r a c e r,1
M a r a t h o n,2
P a r i s,6
2 0 1 4,3
a d a p t i v e,1
d i s a b i l i t y,3
i n t e l l e c t u a l,7
d i s a b i l i t i e s,1
A s,12
e x i s t i n g,3
m o d i f i e d,2
m e e t,1
n e e d s,4
r e f e r r e d,3
a d a p t e d,3
d i s a b l e d,1
e q u i v a l e n t,2
a b l e - b o d i e d,1
O l d e r,1
M a s t e r s,9
s e n i o r,1
v e t e r a n,1
c a t e g o r y,2
c o n t a i n s,2
3 5,2
o l d e r,2
c o n c e r n,3
u n a l t e r e d,1
C o m p e t i t i o n s,1
W o r l d,16
1 9 8 5,3
2 0 0 8,2
t h e n,7
S e n i o r,2
U S A T F,2
O u t d o o r,1
C h a m p i o n s h i p s,3
b e g a n,14
1 9 6 8,2
I n d o o r,1
1 9 7 5,6
A t h l e t i c s,1
S p e c t a t o r,2
S p e c t a t o r s,1
1 9 0 6,1
u n o f f i c i a l,1
a l o n g,6
a e s t h e t i c,1
a p p e a l,2
a t t e n d i n g,1
w a t c h,1
l e d,16
s p e c i f i c,13
p h e n o m e n o n,1
B o t h,2
a t t r a c t,2
v e n u e,2
b r o a d c a s t,4
r a d i o,1
t e l e v i s i o n,4
i n t e r n e t,1
a t t e n d a n c e,1
v i e w i n g,2
r e m o t e l y,1
i n c u r,1
s u b s t a n t i a l,1
c h a r g e,1
e n t r a n c e,1
t i c k e t,1
p a y - p e r - v i e w,1
l e a g u e,2
t w o,11
c o m m o n,7
a r r a n g e m e n t s,1
o r g a n i s e,1
i n d i v i d u a l,6
a g a i n s t,9
e a c h,3
c o n t i n u o u s l y,1
p e r i o d i c a l l y,1
r i v a l,1
b r o a d c a s t e r s,1
b i d d i n g,1
a m o u n t s,1
m o n e y,1
r i g h t s,5
s h o w,2
c e r t a i n,4
C u p,5
a t t r a c t s,1
a u d i e n c e,3
m i l l i o n s,3
f i n a l,5
a l o n e,4
a t t r a c t e d,2
e s t i m a t e d,2
w o r l d w i d e,1
w e l l,11
o v e r,9
7 0 0,1
m i l l i o n,9
C r i c k e t,2
F i n a l,1
1 3 5,1
U n i t e d,13
S t a t e s,7
c h a m p i o n s h i p,1
N F L,2
S u p e r,2
B o w l,2
b e c o m e,6
w a t c h e d,1
b r o a d c a s t s,1
y e a r,4
S u n d a y,1
h o l i d a y,1
A m e r i c a,3
v i e w e r s h i p,1
s o,7
g r e a t,1
2 0 1 5,3
a d v e r t i s i n g,1
s p a c e,3
s o l d,1
4 . 5 m,1
3 0 - s e c o n d,1
s l o t,1
A m a t e u r,3
P r o f e s s i o n a l,1
u n i v e r s i t y,2
u n d e r t a k e n,1
s e m i - p r o f e s s i o n a l,1
b a s i s,1
d e p e n d i n g,1
i n c e n t i v i s e d,2
p a y m e n t,1
w a g e,1
s a l a r y,1
l o w e r,4
g r a s s r o o t s,1
b e c o m i n g,2
b u s i n e s s,2
r i g h t,2
p a y i n g,1
p e r f o r m i n g,1
r e w a r d e d,1
p a y,1
f a r,2
e x c e s s,1
a v e r a g e,1
w a g e s,1
r u n,1
d o l l a r s,1
r e t a i n,2
p o l i c y,7
s t a r t e d,2
p r i n c i p l e,2
p r o f e s s i o n a l l y,1
c o n s i d e r e d,6
u n f a i r,1
m e r e l y,1
h o b b y,1
F r o m,6
1 9 7 1,1
a l l o w e d,4
r e c e i v e,1
c o m p e n s a t i o n,1
s p o n s o r s h i p,1
1 9 8 6,1
e l i g i b l e,1
e x c e p t i o n s,1
T e c h n o l o g y,2
l i g h t s,1
